"Year","ID","crossing_time","crossing_duration","crossing_date","nearest_before_Lon","nearest_before_Lat","nearest_after_Lon","nearest_after_Lat","lake_width","circumvent_distance","straight_distance","circumvent_speed","straight_speed","albedo_linear","albedo_nearest_pixel","albedo_whole_lake","type","order","season","Location","average_speed_on_land","max_speed_on_land","location","lake_spent","sex","response","lake_spent_proportion","log_ratio_cir_ref","log_ratio_dir_ref","log_ratio_cir_dir"
2019,"bev144",2019-05-20 16:00:00,0.0833333333333333,140,"-110.855511","65.768017","-110.736206","65.773703",1914.18272422831,19655.6549155383,5486.96643965044,2.72995207160254,0.762078672173673,0.759700189034144,0.746031761169434,0.746031746031746,"0",107,"spring","Spring Migration",0.428781853525343,1.07011333620021,"Known Crossing Event",36.3986059617915,"m","1",0.303321716348262,1.8510910421782,0.575101505022571,1.27598953715562
2019,"bat221",2019-05-20 12:00:00,0.0833333333333333,140,"-110.59877","65.564341","-110.484561","65.604252",4988.23032681828,131114.524604169,6881.6263529632,18.2103506394679,0.955781437911556,0.745639834139082,0.746031761169434,0.746031746031746,"0",108,"spring","Spring Migration",0.581909532407418,0.910699129929722,"Known Crossing Event",27.2819307604361,"f","1",0.227349423003634,3.44343043481121,0.496214272432065,2.94721616237914
2019,"bat228",2019-04-06 16:01:00,0.666666666666667,96,"-110.807961","65.290015","-110.154338","65.414309",5784.57600327424,84847.4255313661,33349.7018898225,1.47304558214177,0.57898788003164,0.912273243069649,0.994709014892578,0.984126984126984,"0",109,"spring","Spring Migration",0.505542913650964,1.13809038060488,"Known Crossing Event",99.7575232893482,"f","1",0.103914086759738,1.06945443275927,0.135648616435068,0.933805816324205
2019,"bat231",2019-05-20 18:00:00,0.125,140,"-110.571197","65.523303","-110.4601","65.590326",5576.16804759714,122388.84243106,9047.33887827056,11.3323002250981,0.83771656280283,0.755952390531699,0.780423283576965,0.746031746031746,"0",110,"spring","Spring Migration",0.564706282583965,0.8731007637829,"Known Crossing Event",40.3854159537254,"f","1",0.224363421965141,2.99910661202428,0.394374070581783,2.6047325414425
2019,"bat239",2019-05-20 12:00:00,0.0833333333333333,140,"-110.604735","65.564899","-110.484733","65.60393",4817.25228706697,130419.617264642,7026.26421079583,18.1138357312003,0.975870029277199,0.742222230434418,0.746031761169434,0.746031746031746,"0",111,"spring","Spring Migration",0.639574449182959,0.847288027916351,"Known Crossing Event",13.1191928392736,"f","1",0.109326606993946,3.34362829824122,0.422526378778785,2.92110191946244
2019,"bat205",2019-06-04 15:01:00,0.167361111111111,155,"-109.739873","64.984973","-109.785149","65.029734",1394.25165229914,6411.57792134691,5418.72482215294,0.443400962748749,0.374738922693841,0.666666686534882,0.666666686534882,0.666666666666667,"0",112,"spring","Spring Migration",0.0267973461009749,0.10610443440118,"Known Crossing Event",161.805578399225,"m","1",0.671392441490561,2.80617161193668,2.63792672082623,0.168244891110455
2019,"bat205",2019-06-10 02:01:00,0.0826388888888889,161,"-109.686304","65.046878","-109.761438","65.038564",2015.51325556321,25901.5884096773,3648.41565656904,3.62767344673352,0.510982584953647,0.639971142465418,0.640211641788483,0.64021164021164,"0",113,"spring","Spring Migration",0.106292080641202,0.271604872509052,"Known Crossing Event",11.8012033497491,"m","1",0.0991697760483118,3.53015601552472,1.57014472680754,1.96001128871717
2019,"bat205",2019-06-24 20:00:00,0.166666666666667,175,"-110.278289","65.389203","-110.183564","65.42124",2961.29958372419,69522.1279189848,5655.03861423317,4.8279255499295,0.392711014877303,0.562830694019794,0.55820107460022,0.560846560846561,"0",114,"spring","Spring Migration",0.215261054324012,0.751820233136415,"Known Crossing Event",18.4684783488415,"m","1",0.0769519931201728,3.11032066388624,0.601222512546012,2.50909815134023
2019,"bat201",2019-06-08 10:01:00,0.0826388888888889,159,"-109.740281","65.264116","-109.7812","65.335634",463.060336224678,8287.7730145851,8185.72428524407,1.16075252305113,1.14645998392774,0.627865970134735,0.61904764175415,0.645502645502645,"0",115,"spring","Spring Migration",0.902044068118944,1.46334480181608,"Known Crossing Event",61.7866300938114,"m","1",0.519215378939592,0.252160425659471,0.239770824001417,0.0123896016580535
2019,"bat216",2019-06-23 16:00:00,0.0833333333333333,174,"-110.501674","65.523003","-110.378625","65.550072",4346.43753281447,116732.430342589,6423.10663406359,16.2128375475818,0.892098143619943,0.562881568303475,0.55820107460022,0.566137566137566,"0",116,"spring","Spring Migration",0.298317081592582,0.633046132101943,"Known Crossing Event",20.3875640624055,"m","1",0.169896367186713,3.99540169559921,1.09541919999304,2.89998249560617
