"Year","ID","crossing_time","crossing_duration","crossing_date","nearest_before_Lon","nearest_before_Lat","nearest_after_Lon","nearest_after_Lat","lake_width","circumvent_distance","straight_distance","circumvent_speed","straight_speed","albedo_linear","albedo_nearest_pixel","albedo_whole_lake","type","order","season","Location","average_speed_on_land","max_speed_on_land","location","lake_spent","sex"
2010,"bat077",2010-05-17 15:00:00,1,137,"-111.1947","65.7626","-111.273","65.9573",8921.05444676593,54541.0868118733,21965.0865763891,0.631262578841126,0.254225539078578,0.834803060249046,0.894179880619049,0.894179894179894,"0",1,"spring","Spring Migration",0.336952955394126,0.73736744010307,"Unknown Crossing Event",272.597654385559,"f"
2010,"bev042",2010-05-22 15:00:00,1.5,142,"-111.2615","65.7947","-111.0906","66.1137",5499.03684746355,65692.9631985621,36347.1311411506,0.506890148137053,0.280456258805174,0.801276066723992,0.788359761238098,0.851851851851852,"0",2,"spring","Spring Migration",0.340718255606381,0.642762704038097,"Unknown Crossing Event",196.82421781464,"f"
2011,"bat086",2011-05-15 15:00:00,1,135,"-111.0793","65.2667","-110.34","65.5287",9426.3071752326,115425.4601079,44994.4226176533,1.33594282532292,0.520768780296913,0.774776141230877,0.772486746311188,0.772486772486772,"0",3,"spring","Spring Migration",0.351268187078379,0.533774955019941,"Unknown Crossing Event",100.304340660178,"f"
2011,"bat088",2011-05-16 15:00:00,1,136,"-111.3373","65.8487","-110.9863","66.0028",5220.51171306235,39211.3713703795,23416.0397168986,0.4538353167868,0.271018978204845,0.751714675514786,0.788359761238098,0.767195767195767,"0",4,"spring","Spring Migration",0.215179960520257,0.296682745418376,"Unknown Crossing Event",194.074302216388,"f"
2011,"bat089",2011-05-19 15:00:00,1,139,"-111.3568","65.8593","-111.0972","65.9553",3449.51600346209,35657.0646706489,15917.5546043511,0.41269750776214,0.184230956068878,0.724171531827826,0.661375641822815,0.751322751322751,"0",6,"spring","Spring Migration",0.149866742123367,0.300663571928365,"Unknown Crossing Event",204.209603425536,"f"
2011,"bat089",2011-05-18 15:00:00,1,138,"-111.5625","65.7505","-111.3568","65.8593",1956.26420073076,20667.4391086633,15322.0081510728,0.239206471165085,0.177338057304084,0.756613731384277,0.756613731384277,0.756613756613757,"0",7,"spring","Spring Migration",0.212080360566576,0.476879371188784,"Unknown Crossing Event",214.662988971991,"f"
2011,"bat090",2011-05-15 15:00:00,1,135,"-111.2971","65.5425","-110.6393","65.7411",7564.98982055293,112674.162312838,37428.0973710566,1.30409910084304,0.433195571424267,0.772549744163241,0.772486746311188,0.772486772486772,"0",8,"spring","Spring Migration",0.353800703730097,0.44595286395579,"Unknown Crossing Event",71.2366799287795,"f"
2011,"bat080",2011-05-16 15:00:00,1.5,136,"-111.618","65.8002","-111.2284","65.9433",2848.75985680283,37794.1529890802,23834.1621634095,0.291621550841668,0.18390557224853,0.768430324395498,0.769841253757477,0.767195767195767,"0",9,"spring","Spring Migration",0.258080572855538,0.440245382088962,"Unknown Crossing Event",174.84380046855,"f"
2012,"bat086",2012-05-14 15:00:00,1,135,"-110.8693","65.2806","-110.3989","65.6507",6111.37762248923,116523.438319059,46584.9033245324,1.34865090647059,0.539177121811718,0.772079747456771,0.772486746311188,0.772486772486772,"0",10,"spring","Spring Migration",0.307361215204741,0.382526619929581,"Unknown Crossing Event",58.0904501959839,"f"
2012,"bat090",2012-05-14 15:00:00,1,135,"-111.6344","65.3251","-110.776","65.7473",5879.3256999599,134455.029745779,61438.618717105,1.55619247390948,0.711095124040567,0.776366817951202,0.772486746311188,0.772486772486772,"0",11,"spring","Spring Migration",0.349855815543141,0.491020465584769,"Unknown Crossing Event",73.4189127904418,"f"
2012,"bat091",2012-05-13 15:00:00,1,134,"-110.4789","65.4188","-110.2024","65.601",5858.44937571251,95029.7498202319,23961.9464246425,1.09988136366009,0.277337342877807,0.783362728578073,0.806878328323364,0.777777777777778,"0",12,"spring","Spring Migration",0.350521146129717,0.458000285456127,"Unknown Crossing Event",294.361195798117,"f"
