"Year","ID","crossing_time","crossing_duration","crossing_date","nearest_before_Lon","nearest_before_Lat","nearest_after_Lon","nearest_after_Lat","lake_width","circumvent_distance","straight_distance","circumvent_speed","straight_speed","albedo_linear","albedo_nearest_pixel","albedo_whole_lake","type","order","season","Location","average_speed_on_land","max_speed_on_land","location","lake_spent","sex","response","lake_spent_proportion","log_ratio_cir_ref","log_ratio_dir_ref","log_ratio_cir_dir"
2017,"bat143",2017-04-22 15:01:00,0.999305555555556,112,"-111.136794","65.699143","-110.912004","65.866942",7752.05076073243,85220.7897838962,21313.7092701865,0.987037176093308,0.246857878969036,0.910533917672706,0.904761910438538,0.851851851851852,"0",47,"spring","Spring Migration",0.216134341745833,0.594029531701603,"Unknown Crossing Event",145.347380389827,"f",NA,0.101005823759435,1.51880753759332,0.132912615360141,1.38589492223318
2017,"bat146",2017-05-19 15:00:00,1,139,"-111.444154","65.656142","-111.174302","65.898271",5785.53322619092,60106.1582639253,29637.8145811761,0.695673128054691,0.343030261356205,0.751322746276855,0.751322746276855,0.751322751322751,"0",48,"spring","Spring Migration",0.206943607121648,0.26239013626052,"Unknown Crossing Event",269.416014512315,"f",NA,0.187094454522441,1.21243357963201,0.505372342016863,0.70706123761515
2017,"bat165",2017-05-27 15:00:00,1.00069444444444,147,"-110.168109","65.344577","-110.006404","65.384231",2102.68394949638,49979.7232038184,8705.72900232256,0.578067582741364,0.100690828155477,0.708994686603546,0.708994686603546,0.708994708994709,"0",49,"spring","Spring Migration",0.0914807362392493,0.240326685840293,"Unknown Crossing Event",471.139449945405,"m",NA,0.326953122793482,1.8435623697833,0.0959262974853917,1.74763607229791
2017,"bat165",2017-05-25 15:00:00,1.00069444444444,145,"-110.652366","65.364232","-110.20596","65.350242",8134.274079925,30974.6699080149,20778.6452577517,0.358254336201884,0.240326685840293,0.719696966084567,0.719576716423035,0.71957671957672,"0",50,"spring","Spring Migration",0.0971440321201677,0.236247253258819,"Unknown Crossing Event",794.116058982173,"m",NA,0.551086786247173,1.30504842608203,0.905804444366216,0.399243981715817
2017,"bat168",2017-05-20 15:00:00,1.00069444444444,140,"-111.286225","65.552373","-110.953288","65.969081",10241.3472946666,79863.8545979924,48819.3346583521,0.923708704580064,0.564646479971687,0.746325704786513,0.746031761169434,0.746031746031746,"0",51,"spring","Spring Migration",0.245588739943422,0.590190238579275,"Unknown Crossing Event",131.896837222734,"m",NA,0.0915314623336119,1.3247384190689,0.832541488063798,0.492196931005097
2018,"bat205",2018-06-06 10:00:00,0.0416666666666667,157,"-109.934097","65.306924","-109.886922","65.32364",715.945404945117,26218.3663000733,2876.20702246381,7.28287952779814,0.798946395128835,0.656084656715393,0.656084656715393,0.656084656084656,"0",53,"spring","Spring Migration",0.196315194722211,0.595451447362485,"Unknown Crossing Event",0,"m",NA,0,3.61356009861662,1.40357234966256,2.20998774895406
2018,"bat205",2018-06-05 16:01:00,0.333333333333333,156,"-110.38356","65.168586","-110.096381","65.26801",2691.19077145284,22098.7592458636,17379.7815017069,0.767318029370265,0.603464635475933,0.670899482568105,0.669312179088593,0.661375661375661,"0",54,"spring","Spring Migration",0.326477009517661,0.791568794837258,"Unknown Crossing Event",11.7185155776914,"m",NA,0.0244135741201905,0.854541824783109,0.614327908491246,0.240213916291863
2019,"bat147",2019-05-19,0.334027777777778,139,"-109.535317","65.081511","-109.25832","65.111069",3009.91929586909,15087.4629478462,13394.9258438572,0.522781113923984,0.464134644624298,0.753637559711933,0.751322746276855,0.751322751322751,"0",55,"spring","Spring Migration",0.352535533088063,0.52231733473289,"Unknown Crossing Event",42.3480456055854,"f",NA,0.0880416748556869,0.394011435980326,0.275023272252707,0.118988163727619
2019,"bat147",2019-05-18 16:01:00,0.332638888888889,138,"-109.854682","65.072971","-109.535317","65.081511",2934.43782951944,31176.6165463859,15011.4002002232,1.08478136904613,0.52231733473289,0.774074077606201,0.783068776130676,0.756613756613757,"0",56,"spring","Spring Migration",0.25501384502598,0.402277221809153,"Unknown Crossing Event",23.9219129829896,"f",NA,0.0499413632212726,1.4478159045827,0.716957486213711,0.730858418368985
2019,"bat201",2019-06-16 06:00:00,0.0416666666666667,167,"-110.71742","65.692508","-110.75923","65.656759",3085.77480389832,136024.419332349,4417.2913679057,37.7845609256526,1.22702537997381,0.60317462682724,0.60317462682724,0.603174603174603,"0",58,"spring","Spring Migration",0.121981939572887,0.303901094353799,"Unknown Crossing Event",12.0588845361701,"m",NA,0.200981408936169,5.7357828595656,2.30847513158523,3.42730772798036
2019,"bat201",2019-06-15,0.0423611111111111,166,"-110.846627","65.772137","-110.805386","65.753662",1761.94465062522,23764.0709852955,2789.5477001715,6.49291556975288,0.762171502779099,0.608465611934662,0.608465611934662,0.608465608465608,"0",59,"spring","Spring Migration",0.0844267588288545,0.233422589324539,"Unknown Crossing Event",20.6312045864306,"m",NA,0.33821646863001,4.34258255006349,2.20028720053813,2.14229534952536
2019,"bat201",2019-06-10 15:00:00,0.0416666666666667,161,"-110.705972","65.798187","-110.761355","65.811598",1430.58500754226,8953.10410868083,2934.85694158388,2.48697336352245,0.815238039328857,0.633267186582088,0.629629611968994,0.64021164021164,"0",60,"spring","Spring Migration",0.0789094834000921,0.283040177847974,"Unknown Crossing Event",6.41314454234719,"m",NA,0.106885742372453,3.45052031764764,2.33517872757814,1.1153415900695
2019,"bat209",2019-04-17 08:00:00,0.334027777777778,107,"-109.160559","65.004199","-109.007458","65.023125",6321.86785108475,13904.082731865,7501.00467765299,0.481776948436072,0.259910071990748,0.835434168577194,0.883597910404205,0.915343915343915,"0",61,"spring","Spring Migration",0.0460005443442202,0.131898848443284,"Unknown Crossing Event",69.7097751847879,"f",NA,0.144926767535941,2.34882801437311,1.73168246423855,0.617145550134554
2019,"bat212",2019-05-24 16:00:00,0.334027777777778,144,"-111.375661","65.88943","-111.172328","65.933461",2039.52936520743,30681.4060739948,10458.1411989251,1.0631117835757,0.362374954917708,0.724627207625996,0.727513253688812,0.724867724867725,"0",62,"spring","Spring Migration",0.324457613839853,0.627639211185006,"Unknown Crossing Event",46.2873610666497,"f",NA,0.0962315198890846,1.18680062369341,0.110524555129351,1.07627606856406
2019,"bev156",2019-04-17 08:00:00,0.333333333333333,107,"-109.154325","65.001742","-108.993457","65.022009",5923.72568401178,13519.2449862898,7894.0376493992,0.469418228690617,0.274098529493028,0.830367162372127,0.91005289554596,0.915343915343915,"0",63,"spring","Spring Migration",0.0250863969904834,0.0975244523993994,"Unknown Crossing Event",60.0149812097243,"f",NA,0.125031210853592,2.92916837002839,2.39116189178058,0.538006478247813
2019,"bat223",2019-05-15 20:00:00,0.0416666666666667,135,"-110.10991","65.359817","-110.075439","65.367488",220.6857222422,2169.93725781132,1813.2664628989,0.602760349392032,0.503685128583028,0.772486746311188,0.772486746311188,0.772486772486772,"0",64,"spring","Spring Migration",0.179271349183765,0.665809177462856,"Unknown Crossing Event",6.49050579224415,"f",NA,0.108175096537402,1.21261911197758,1.03305075273618,0.179568359241406
2019,"bat223",2019-05-15 19:00:00,0.0416666666666667,135,"-110.153834","65.348498","-110.10991","65.359817",1762.696590045,54209.6957834603,2396.91303886628,15.058248828739,0.665809177462856,0.775426195727454,0.772486746311188,0.772486772486772,"0",65,"spring","Spring Migration",0.241591910793291,0.548090158675537,"Unknown Crossing Event",6.98454630052303,"f",NA,0.116409105008717,4.1324312312764,1.01375312547527,3.11867810580112
2019,"bat223",2019-05-15 08:00:00,0.333333333333333,135,"-110.463951","65.298888","-110.200056","65.34439",1209.65701085717,16872.003048412,13270.190404881,0.585833439180973,0.460770500169479,0.844293287822178,0.851851880550385,0.772486772486772,"0",66,"spring","Spring Migration",0.269343932005111,0.665809177462856,"Unknown Crossing Event",51.6051933296895,"f",NA,0.107510819436853,0.777046395112591,0.536910968020104,0.240135427092487
2019,"bat227",2019-05-21 16:01:00,0.333333333333333,141,"-110.198434","65.105233","-109.841948","65.344068",1456.20605609663,42273.844086564,31359.4828310156,1.46784180856125,1.08887093163249,0.768329552241734,0.738095223903656,0.740740740740741,"0",67,"spring","Spring Migration",0.959097262539254,1.54841295283548,"Unknown Crossing Event",1.40609097905129,"f",NA,0.00292935620635685,0.425555952999881,0.126904105296131,0.298651847703749
2020,"bne241",2020-04-30 08:00:00,0.333333333333333,121,"-110.628971","65.569287","-110.549385","65.707249",10001.081478915,140341.691593927,15786.6748841045,4.8729754025669,0.548148433475851,0.800224475788348,0.719576716423035,0.878306878306878,"0",69,"spring","Spring Migration",0.30089197426038,0.676878295351132,"Unknown Crossing Event",98.2041037539875,"f",NA,0.204591882820807,2.78470868430039,0.599794803445784,2.1849138808546
2020,"bne241",2020-04-30,0.333333333333333,121,"-110.7083","65.481954","-110.628971","65.569287",659.909896235542,10639.1702572785,10387.4580433211,0.369415633933281,0.360675626504206,0.828042328357697,0.822751343250275,0.878306878306878,"0",70,"spring","Spring Migration",0.301000424612628,0.676878295351132,"Unknown Crossing Event",107.521497801446,"f",NA,0.224003120419679,0.204810713953325,0.180867337441789,0.0239433765115365
2020,"bne241",2020-04-29 16:00:00,0.333333333333333,120,"-110.85683","65.318114","-110.7083","65.481954",2018.44931763831,20745.4272209558,19494.0949061126,0.720327334060966,0.676878295351132,0.919642858207226,0.843915343284607,0.883597883597884,"0",71,"spring","Spring Migration",0.2611556399775,0.548148433475851,"Unknown Crossing Event",98.6487795927341,"f",NA,0.205518290818196,1.01458918799073,0.952374934875127,0.0622142531156031
2020,"bat249",2020-05-20 16:01:00,0.333333333333333,141,"-111.375666","65.790966","-111.322483","65.941846",3889.81432987482,47269.3392165191,16969.4147898064,1.64129650057358,0.589215791312723,0.855379189054171,0.806878328323364,0.71957671957672,"0",74,"spring","Spring Migration",0.350007535989587,0.800180553528984,"Unknown Crossing Event",66.3216644853603,"f",NA,0.138170134344501,1.54528707197862,0.520837799856381,1.02444927212224
2020,"bat253",2020-05-14,0.334027777777778,135,"-111.043845","65.650772","-110.880691","65.787115",8847.40765295471,100432.863360366,16915.6499729589,3.48000219543889,0.586127857690883,0.759328879808125,0.822751343250275,0.772486772486772,"0",76,"spring","Spring Migration",0.394225996354,0.764946285119718,"Unknown Crossing Event",65.229525799845,"f",NA,0.135612319750197,2.17786386397915,0.39661361330104,1.78125025067811
2020,"bat254",2020-06-07 00:01:00,0.332638888888889,159,"-110.741066","65.597793","-110.547261","65.701498",7144.22946447348,139866.000330616,14573.9714682315,4.86659708874793,0.507097128330951,0.646712000029428,0.661375641822815,0.645502645502645,"0",77,"spring","Spring Migration",0.511888459620615,1.27860729385639,"Unknown Crossing Event",31.5789265890638,"f",NA,0.0659267778477323,2.25204347309074,-0.00940418914239095,2.26144766223313
2020,"bat255",2020-05-20 08:01:00,0.334027777777778,141,"-111.342493","65.796245","-111.295554","65.960643",5657.77253082385,48275.0785837714,18424.8641729577,1.67273314566083,0.638422182015166,0.850694440305233,0.722222208976746,0.71957671957672,"0",78,"spring","Spring Migration",0.31049709833708,0.616364076044584,"Unknown Crossing Event",55.6066385152455,"f",NA,0.115606317079512,1.68403962558574,0.72082523559663,0.963214389989111
2021,"bat249",2021-05-08 00:01:08,0.332986111111111,128,"-110.698913","65.574984","-110.494464","65.6366",6003.6837686656,133267.329515881,11636.2803319516,4.63216300020441,0.404458822799848,0.856316138058901,0.865079343318939,0.80952380952381,"0",79,"spring","Spring Migration",0.219435794711421,0.40801582411148,"Unknown Crossing Event",91.6496427083375,"f",NA,0.19113585549184,3.0497195259433,0.611490250824158,2.43822927511914
2021,"bat252",2021-05-04 00:00:59,0.334108796296296,124,"-110.248623","65.307814","-110.008855","65.402218",1349.6608316844,52321.8382117593,15307.3235593185,1.81251388130943,0.530270674448974,0.856009091649737,0.835978865623474,0.830687830687831,"0",80,"spring","Spring Migration",0.179759289079196,0.555255012102242,"Unknown Crossing Event",69.398351685474,"f",NA,0.144244330935963,2.31085137231686,1.08176890965136,1.2290824626655
